Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
CÓRREGO DOS RODRIGUES,IBATIBA,Espírito Santo,217,94,0,94,0,123
CÓRREGO GRANDE,ITAGUACU,Espírito Santo,216,69,1,68,1,146
ALTO RIO FUNDO,MARECHAL FLORIANO,Espírito Santo,215,68,0,68,0,147
VIÇOSINHA,VENDA NOVA DO IMIGRANTE,Espírito Santo,215,83,0,83,0,132
CHÁCARA DO ATLÂNTICO,CONCEICAO DA BARRA,Espírito Santo,214,65,0,64,1,148
BARRA LIMPA,JERONIMO MONTEIRO,Espírito Santo,214,40,0,39,1,173
VIÇOSA,CONCEICAO DO CASTELO,Espírito Santo,214,63,0,63,0,151
NOVA CONQUISTA,SAO MATEUS,Espírito Santo,214,40,0,39,21,153
PONTO FRIO,MARECHAL FLORIANO,Espírito Santo,214,60,1,59,0,154
AMORIM,MUNIZ FREIRE,Espírito Santo,214,107,1,99,2,105
NOVA ALEGRE,ALEGRE,Espírito Santo,214,50,1,49,0,164
PARAÍSO,IBATIBA,Espírito Santo,213,105,0,105,0,108
CÓRREGO NEGRO,SAO DOMINGOS DO NORTE,Espírito Santo,213,62,0,58,0,151
ELDORADO,PEDRO CANARIO,Espírito Santo,212,36,0,36,0,176
CORREGO BAIA,GOVERNADOR LINDENBERG,Espírito Santo,211,51,0,50,1,159
Não Encontrado,JAGUARE,Espírito Santo,211,20,0,18,3,188
CAFÉ I,ALEGRE,Espírito Santo,211,67,0,67,0,144
EDITH CASTRO,GUACUI,Espírito Santo,211,74,2,69,3,134
SEIS HORAS,MARILANDIA,Espírito Santo,211,63,0,63,7,141
CORREGO GUARANI,GOVERNADOR LINDENBERG,Espírito Santo,211,72,1,71,0,139
CÓRREGO DA PENEIRA,VILA PAVAO,Espírito Santo,211,78,0,78,0,133
MINEIRINHO,PRESIDENTE KENNEDY,Espírito Santo,211,49,0,49,0,162
Não Informado,GOIANIA,Goiás,211,0,0,0,0,0
CORREGO BOA VISTA,GOVERNADOR LINDENBERG,Espírito Santo,210,77,0,75,0,133
ANGÁ,CONCEICAO DO CASTELO,Espírito Santo,210,59,1,58,0,151
ESTRADA DO CARACOL,MARECHAL FLORIANO,Espírito Santo,210,62,0,62,0,148
